time line,Change of Energy Intkae (Kcal/d),SE of Delta EI,Change of Energy Expenditure (Kcal/d),SE of Delta EE
7.0,242.06238107281627,1.0111876839929037,68.75430817554073,1.0133225624034785
21.0,-577.8159632160686,2.037015470501277,-157.66436266046333,2.0330480879101844
35.0,370.8293234542462,2.6749336393486796,82.7949204125508,2.657551473643663
49.0,-353.24290263674834,3.1863237259403334,-96.3254305645723,3.187572192614104
63.0,-587.4217229238374,3.7177628389062893,-179.08217489896236,3.6801234770234754
77.0,438.003299208262,4.206349539444719,89.35466516370124,4.154390736857395
91.0,373.1217473983484,4.609116412390517,87.62902592808955,4.58517743169718
105.0,-543.1331261891085,4.900819334786977,-161.72970912880544,4.858953304750299
119.0,-395.1778522789089,5.259333826834401,-138.9094279694916,5.175038151698191
133.0,227.98326413335997,5.531620156647979,27.152670796143024,5.442835758204991
147.0,-297.6321321376518,5.77880226992685,-120.19726716479471,5.66127189560077
161.0,534.6123161910944,6.002133091620738,108.6409288813646,5.901652814761901
175.0,-907.3149290351721,6.229163078621436,-279.2135173879396,6.108498403606103
189.0,-298.8768973946806,6.463192531908415,-135.63368627621384,6.280361403746799
203.0,234.88392335982408,6.712903084988691,5.601033787693667,6.5259519193798425
217.0,30.916173322030684,6.923327520029818,-48.97523178159732,6.730935407872486
231.0,-390.99691527641187,7.141707521857498,-170.79985837515028,6.915050659349695
245.0,54.138477886284555,7.350146198518089,-56.01821572999261,7.100439902689366
259.0,-429.27273522764614,7.560486273497334,-186.0869370525509,7.2902353931918125
273.0,258.96021506067495,7.700767568987297,-5.478871025069864,7.413175870226704
287.0,103.26394796700865,7.843952346465752,-42.77367868081206,7.567480154382149
301.0,-169.59478480443198,8.006028656133507,-116.79761428167278,7.716996071470125
315.0,-318.6514850487737,8.256354839102837,-164.79145491779104,7.920954693175262
329.0,-257.8964110471031,8.425403554829044,-156.32564519375214,8.048969179663628
343.0,-170.04909476601014,8.541972792441662,-138.8358977081487,8.131477196266525
357.0,-54.79039357007704,8.606480425995946,-110.629768238679,8.182028402241235
371.0,390.17538711229054,8.738948670293158,9.73418781207538,8.31532208070484
385.0,-301.1794861062003,8.974674842538928,-170.62037836324268,8.545933187390958
399.0,-400.6155139037696,9.144115977346296,-203.138006783506,8.675270645154576
413.0,266.0391166189211,9.266141151592668,-36.70620318275012,8.744193341057692
427.0,-101.69893947677365,9.442715700656725,-135.18917741921067,8.911039111027716
441.0,-542.182702677145,9.564711282070997,-266.6636408428216,8.963229874228555
455.0,485.2125372072447,9.675787434974257,8.980408800858639,9.083731416788515
469.0,-315.6374639001221,9.854343435213286,-200.1489812964286,9.269270421909011
483.0,-105.49918332002323,9.951060971218167,-154.93689557358542,9.30609406690881
497.0,-21.95194646368968,10.098541964613409,-127.51256820847217,9.460324655508117
511.0,-267.49484896645197,10.24344978955243,-200.4050300572588,9.57111887291901
525.0,-245.4389991308434,10.390543134136328,-213.20960174171086,9.623431887290947
539.0,84.5689999207121,10.548584813353004,-124.43025849990565,9.782400164407596
